Walk #0:
Target Distance: 50, Step Size: 2
647: (x, y) = (1.21837, -34.233)
648: (x, y) = (2.16167, -35.9966)
649: (x, y) = (3.01003, -37.8077)
650: (x, y) = (2.09815, -39.5878)
651: (x, y) = (3.95509, -40.3306)
652: (x, y) = (4.10542, -42.3249)
653: (x, y) = (2.128, -42.0252)
654: (x, y) = (3.48801, -40.5588)
655: (x, y) = (3.44381, -42.5583)
656: (x, y) = (4.55404, -44.2219)
657: (x, y) = (2.60676, -44.678)
658: (x, y) = (4.53195, -44.1361)
659: (x, y) = (2.60674, -43.5943)
660: (x, y) = (1.83934, -45.4412)
661: (x, y) = (-0.126227, -45.0717)
662: (x, y) = (-1.59861, -46.4253)
663: (x, y) = (-3.49235, -47.0685)
664: (x, y) = (-4.9767, -45.7281)
665: (x, y) = (-3.1332, -46.5037)
666: (x, y) = (-3.66654, -44.5761)
667: (x, y) = (-1.67437, -44.3993)
668: (x, y) = (-2.91346, -42.8294)
669: (x, y) = (-1.0197, -43.4726)
670: (x, y) = (0.511126, -44.7597)
671: (x, y) = (-0.924844, -43.3675)
672: (x, y) = (-2.8761, -42.9287)
673: (x, y) = (-4.24903, -44.383)
674: (x, y) = (-2.3191, -44.9078)
675: (x, y) = (-3.51602, -46.5101)
676: (x, y) = (-5.19416, -47.5981)
677: (x, y) = (-6.07439, -49.394)
678: (x, y) = (-5.32338, -47.5404)
679: (x, y) = (-5.27912, -49.5399)
680: (x, y) = (-7.23784, -49.1356)
681: (x, y) = (-5.24912, -48.9236)
682: (x, y) = (-4.53103, -47.0569)
683: (x, y) = (-5.13215, -48.9645)
684: (x, y) = (-5.33539, -46.9748)
685: (x, y) = (-3.86296, -48.3283)
686: (x, y) = (-1.8942, -48.6804)
687: (x, y) = (-3.80951, -49.2562)
688: (x, y) = (-2.61255, -50.8585)
After 688 steps, the subject has the following location:
(x, y) = (-2.61255, -50.8585)
 or
(m, a) = (50.9255, -5.09604)
Average outward distance per step = 0.0740197

Walk #1:
Target Distance: 50, Step Size: 2
0: (x, y) = (0, 0)
1: (x, y) = (1.89376, -0.643188)
2: (x, y) = (1.19222, -2.51611)
3: (x, y) = (0.0673095, -0.862454)
4: (x, y) = (-1.89826, -0.49295)
5: (x, y) = (-2.97892, 1.18996)
6: (x, y) = (-4.41489, 2.58208)
7: (x, y) = (-3.21792, 0.979807)
8: (x, y) = (-5.12274, 0.370186)
9: (x, y) = (-5.07849, -1.62932)
10: (x, y) = (-6.11403, -3.34036)
11: (x, y) = (-7.23894, -1.68671)
12: (x, y) = (-8.68713, -3.0661)
13: (x, y) = (-10.5021, -2.22582)
14: (x, y) = (-10.984, -4.16689)
15: (x, y) = (-12.0347, -2.46512)
16: (x, y) = (-10.3191, -1.43711)
17: (x, y) = (-8.3241, -1.29561)
18: (x, y) = (-6.62699, -0.237389)
19: (x, y) = (-8.57018, 0.235934)
20: (x, y) = (-10.3124, -0.746162)
21: (x, y) = (-11.0962, 1.09387)
22: (x, y) = (-11.4918, 3.05435)
23: (x, y) = (-11.4653, 5.05417)
24: (x, y) = (-10.7638, 3.18127)
25: (x, y) = (-8.92025, 2.4057)
26: (x, y) = (-9.57187, 4.29657)
27: (x, y) = (-8.1989, 2.84229)
28: (x, y) = (-7.27129, 4.61417)
29: (x, y) = (-8.70726, 6.00628)
30: (x, y) = (-10.1308, 4.60147)
31: (x, y) = (-11.7171, 5.81956)
32: (x, y) = (-9.79189, 6.36143)
33: (x, y) = (-8.41892, 4.90714)
34: (x, y) = (-6.58237, 5.69905)
35: (x, y) = (-8.20039, 4.52346)
36: (x, y) = (-7.0177, 6.13629)
37: (x, y) = (-5.83501, 7.74913)
38: (x, y) = (-5.68468, 5.75479)
39: (x, y) = (-4.54518, 4.11115)
40: (x, y) = (-2.93763, 5.30102)
41: (x, y) = (-2.85799, 3.3026)
42: (x, y) = (-3.13152, 5.28381)
43: (x, y) = (-1.77152, 6.75023)
44: (x, y) = (-1.76267, 4.75025)
45: (x, y) = (0.21974, 4.48555)
46: (x, y) = (-1.60972, 3.67742)
47: (x, y) = (-1.0255, 5.59019)
48: (x, y) = (-1.69377, 3.70514)
49: (x, y) = (-0.673421, 5.42528)
50: (x, y) = (-1.32504, 7.31615)
51: (x, y) = (0.417255, 6.33411)
52: (x, y) = (1.06882, 8.225)
53: (x, y) = (-0.830557, 8.8514)
54: (x, y) = (-1.98456, 10.4849)
55: (x, y) = (-3.95924, 10.1676)
56: (x, y) = (-4.25024, 12.1464)
57: (x, y) = (-4.59362, 10.176)
58: (x, y) = (-3.54297, 11.8779)
59: (x, y) = (-2.63103, 10.0979)
60: (x, y) = (-3.99108, 11.5642)
61: (x, y) = (-2.06115, 11.0395)
62: (x, y) = (-4.05919, 10.951)
63: (x, y) = (-2.52836, 9.66393)
64: (x, y) = (-0.652372, 10.3572)
65: (x, y) = (0.501583, 11.9908)
66: (x, y) = (2.49963, 11.9023)
67: (x, y) = (0.861051, 10.7556)
68: (x, y) = (0.605123, 8.77201)
69: (x, y) = (1.56395, 10.5272)
70: (x, y) = (3.56113, 10.6334)
71: (x, y) = (4.40949, 8.8222)
72: (x, y) = (6.32482, 8.24645)
73: (x, y) = (8.18825, 8.97285)
74: (x, y) = (6.94916, 10.5428)
75: (x, y) = (6.24762, 8.66985)
76: (x, y) = (4.73977, 9.98377)
77: (x, y) = (6.52378, 10.8878)
78: (x, y) = (8.50378, 10.6056)
79: (x, y) = (6.56059, 11.079)
80: (x, y) = (8.54059, 10.7968)
81: (x, y) = (10.4918, 11.2357)
82: (x, y) = (12.0888, 10.0317)
83: (x, y) = (11.0837, 8.30259)
84: (x, y) = (10.2838, 6.46955)
85: (x, y) = (9.26336, 8.18966)
86: (x, y) = (7.65577, 9.37948)
87: (x, y) = (7.13957, 7.44724)
88: (x, y) = (8.93154, 6.55907)
89: (x, y) = (8.27992, 8.44994)
90: (x, y) = (9.81075, 7.16286)
91: (x, y) = (8.89886, 5.38285)
92: (x, y) = (7.60498, 6.90792)
93: (x, y) = (5.6303, 6.59068)
94: (x, y) = (6.93763, 5.07711)
95: (x, y) = (5.84217, 6.75042)
96: (x, y) = (7.39555, 5.49065)
97: (x, y) = (7.31596, 3.49223)
98: (x, y) = (9.31314, 3.5984)
99: (x, y) = (10.7242, 5.01576)
100: (x, y) = (11.0501, 6.98902)
101: (x, y) = (9.99943, 8.6908)
102: (x, y) = (10.0967, 10.6884)
103: (x, y) = (8.62431, 9.33489)
104: (x, y) = (10.5675, 9.80827)
105: (x, y) = (8.60191, 10.1778)
106: (x, y) = (7.90037, 8.30485)
107: (x, y) = (8.93596, 6.59384)
108: (x, y) = (10.7119, 5.67409)
109: (x, y) = (10.2128, 7.6108)
110: (x, y) = (11.5728, 9.07722)
111: (x, y) = (10.9212, 10.9681)
112: (x, y) = (10.32, 9.06057)
113: (x, y) = (11.7185, 7.63082)
114: (x, y) = (10.4113, 6.11721)
115: (x, y) = (8.42886, 5.85245)
116: (x, y) = (7.30396, 7.50611)
117: (x, y) = (8.96261, 6.38858)
118: (x, y) = (7.19485, 7.32402)
119: (x, y) = (8.54187, 5.84566)
120: (x, y) = (6.90329, 4.69889)
121: (x, y) = (4.98797, 4.12309)
122: (x, y) = (6.88733, 4.74954)
123: (x, y) = (8.88099, 4.59045)
124: (x, y) = (9.87073, 6.32838)
125: (x, y) = (11.5194, 7.46059)
126: (x, y) = (9.97724, 8.73407)
127: (x, y) = (9.7037, 10.7153)
128: (x, y) = (11.223, 12.0159)
129: (x, y) = (9.22586, 12.122)
130: (x, y) = (9.18166, 10.1225)
131: (x, y) = (11.1591, 10.4222)
132: (x, y) = (10.2472, 8.64223)
133: (x, y) = (11.1433, 10.4302)
134: (x, y) = (10.0627, 8.74727)
135: (x, y) = (9.94778, 6.75058)
136: (x, y) = (9.7798, 8.74351)
137: (x, y) = (8.01205, 9.67895)
138: (x, y) = (8.32055, 7.70289)
139: (x, y) = (7.66893, 9.59376)
140: (x, y) = (8.76434, 11.2671)
141: (x, y) = (10.3288, 12.5131)
142: (x, y) = (8.33659, 12.6899)
143: (x, y) = (6.82874, 14.0038)
144: (x, y) = (8.82867, 13.9861)
145: (x, y) = (9.99708, 12.3629)
146: (x, y) = (9.19711, 10.5299)
147: (x, y) = (7.55854, 9.38313)
148: (x, y) = (8.50184, 7.61957)
149: (x, y) = (9.79568, 9.14468)
150: (x, y) = (8.13706, 8.0271)
151: (x, y) = (6.3076, 7.21897)
152: (x, y) = (6.06918, 9.20471)
153: (x, y) = (5.57004, 11.1414)
154: (x, y) = (3.75512, 11.9817)
155: (x, y) = (5.54709, 11.0935)
156: (x, y) = (5.94266, 13.054)
157: (x, y) = (5.35838, 14.9668)
158: (x, y) = (7.09189, 15.9643)
159: (x, y) = (5.2845, 15.1079)
160: (x, y) = (3.55097, 16.1053)
161: (x, y) = (2.00881, 17.3788)
162: (x, y) = (3.23395, 15.798)
163: (x, y) = (5.06344, 14.9899)
164: (x, y) = (3.95326, 13.3263)
165: (x, y) = (5.43757, 14.6668)
166: (x, y) = (7.12528, 13.5936)
167: (x, y) = (5.12559, 13.629)
168: (x, y) = (6.86788, 12.6469)
169: (x, y) = (7.22868, 14.6141)
170: (x, y) = (6.72955, 16.5508)
171: (x, y) = (5.40896, 15.0488)
172: (x, y) = (6.91676, 16.3628)
173: (x, y) = (5.44438, 15.0092)
174: (x, y) = (4.67698, 13.1623)
175: (x, y) = (6.35516, 12.0743)
176: (x, y) = (7.39075, 10.3633)
177: (x, y) = (5.42854, 9.97637)
178: (x, y) = (3.54055, 10.6363)
179: (x, y) = (3.16235, 8.67238)
180: (x, y) = (3.38318, 6.68461)
181: (x, y) = (3.79615, 4.72771)
182: (x, y) = (2.2883, 6.04163)
183: (x, y) = (3.78446, 4.71441)
184: (x, y) = (5.74668, 4.32752)
185: (x, y) = (4.11828, 5.4887)
186: (x, y) = (2.89319, 3.90783)
187: (x, y) = (3.23662, 1.93754)
188: (x, y) = (5.23662, 1.93754)
189: (x, y) = (7.09356, 1.19473)
190: (x, y) = (6.44194, 3.0856)
191: (x, y) = (8.02818, 4.30374)
192: (x, y) = (6.3597, 5.40654)
193: (x, y) = (5.1486, 6.99815)
194: (x, y) = (4.36483, 8.83818)
195: (x, y) = (2.38484, 9.12042)
196: (x, y) = (1.07755, 7.60681)
197: (x, y) = (2.39819, 6.10484)
198: (x, y) = (3.13283, 4.24465)
199: (x, y) = (5.00263, 3.53483)
200: (x, y) = (5.77008, 1.68794)
201: (x, y) = (3.9627, 0.831571)
202: (x, y) = (2.98837, -0.915053)
203: (x, y) = (3.63994, 0.975837)
204: (x, y) = (4.0529, -0.981063)
205: (x, y) = (2.43488, -2.15665)
206: (x, y) = (1.1682, -0.60891)
207: (x, y) = (1.08861, -2.60733)
208: (x, y) = (1.639, -4.5301)
209: (x, y) = (0.528822, -6.19369)
210: (x, y) = (-1.47118, -6.19375)
211: (x, y) = (-2.18932, -4.32713)
212: (x, y) = (-0.194335, -4.18562)
213: (x, y) = (1.325, -2.885)
214: (x, y) = (3.29969, -3.20219)
215: (x, y) = (1.43624, -2.47585)
216: (x, y) = (1.23301, -0.486198)
217: (x, y) = (1.40093, 1.50674)
218: (x, y) = (1.18016, -0.481037)
219: (x, y) = (2.1699, 1.25689)
220: (x, y) = (1.80904, 3.22407)
221: (x, y) = (0.86579, 1.46047)
222: (x, y) = (1.6495, 3.30052)
223: (x, y) = (2.14858, 5.23725)
224: (x, y) = (2.98082, 7.05587)
225: (x, y) = (4.58837, 8.24574)
226: (x, y) = (6.51831, 7.72099)
227: (x, y) = (6.63331, 5.7243)
228: (x, y) = (5.80102, 7.54289)
229: (x, y) = (4.61828, 9.15569)
230: (x, y) = (6.00403, 10.5978)
231: (x, y) = (7.96274, 11.0021)
232: (x, y) = (6.89707, 9.30967)
233: (x, y) = (5.08969, 8.45331)
234: (x, y) = (4.92171, 10.4462)
235: (x, y) = (6.921, 10.3932)
236: (x, y) = (8.62744, 9.35009)
237: (x, y) = (9.79586, 7.72689)
238: (x, y) = (11.2195, 6.32212)
239: (x, y) = (9.22329, 6.19827)
240: (x, y) = (9.10835, 4.20158)
241: (x, y) = (8.76497, 2.23128)
242: (x, y) = (10.0316, 3.77906)
243: (x, y) = (8.24757, 4.68306)
244: (x, y) = (9.95401, 3.63995)
245: (x, y) = (10.9128, 5.39513)
246: (x, y) = (9.01346, 6.02153)
247: (x, y) = (10.9608, 5.56543)
248: (x, y) = (12.6579, 6.62365)
249: (x, y) = (14.6446, 6.39408)
250: (x, y) = (15.4121, 4.54718)
251: (x, y) = (14.8959, 2.61495)
252: (x, y) = (16.851, 2.19339)
253: (x, y) = (16.1993, 4.08426)
254: (x, y) = (14.3056, 3.44101)
255: (x, y) = (14.4382, 5.43661)
256: (x, y) = (14.0948, 3.46631)
257: (x, y) = (13.8038, 5.44502)
258: (x, y) = (11.8215, 5.18026)
259: (x, y) = (10.1243, 6.23843)
260: (x, y) = (11.8308, 5.19532)
261: (x, y) = (13.8175, 4.96575)
262: (x, y) = (12.9852, 6.78435)
263: (x, y) = (13.9128, 8.55623)
264: (x, y) = (11.9157, 8.66233)
265: (x, y) = (12.6503, 6.80214)
266: (x, y) = (10.8, 7.56136)
267: (x, y) = (12.1338, 9.05163)
268: (x, y) = (13.7622, 10.2128)
269: (x, y) = (12.4283, 11.7031)
270: (x, y) = (12.9616, 13.6307)
271: (x, y) = (11.2739, 12.5575)
272: (x, y) = (10.2232, 14.2592)
273: (x, y) = (10.6534, 16.2124)
274: (x, y) = (10.6093, 14.2129)
275: (x, y) = (12.297, 13.1398)
276: (x, y) = (11.6622, 11.2432)
277: (x, y) = (13.17, 12.5572)
278: (x, y) = (13.6519, 10.6161)
279: (x, y) = (11.6569, 10.7575)
280: (x, y) = (12.7524, 12.4309)
281: (x, y) = (14.7146, 12.044)
282: (x, y) = (12.7847, 11.5192)
283: (x, y) = (11.6452, 9.87552)
284: (x, y) = (9.83783, 9.01916)
285: (x, y) = (10.9481, 7.35561)
286: (x, y) = (10.1643, 9.19564)
287: (x, y) = (11.4172, 7.63674)
288: (x, y) = (13.3052, 8.29673)
289: (x, y) = (13.3317, 10.2966)
290: (x, y) = (14.6523, 8.79458)
291: (x, y) = (12.8157, 9.58643)
292: (x, y) = (10.8158, 9.56872)
293: (x, y) = (12.8146, 9.63952)
294: (x, y) = (13.3308, 7.7073)
295: (x, y) = (12.6127, 9.57392)
296: (x, y) = (10.654, 9.97816)
297: (x, y) = (8.73865, 9.40235)
298: (x, y) = (10.5822, 8.62679)
299: (x, y) = (12.1684, 9.84493)
300: (x, y) = (11.4502, 11.7115)
301: (x, y) = (12.6042, 13.3451)
302: (x, y) = (14.5036, 13.9715)
303: (x, y) = (14.7595, 11.988)
304: (x, y) = (13.1108, 13.1201)
305: (x, y) = (13.6271, 11.1879)
306: (x, y) = (11.6424, 11.4351)
307: (x, y) = (10.8914, 13.2887)
308: (x, y) = (12.3024, 14.706)
309: (x, y) = (10.9166, 16.1481)
310: (x, y) = (11.5346, 18.0502)
311: (x, y) = (13.2411, 17.0071)
312: (x, y) = (15.129, 17.6671)
313: (x, y) = (17.0635, 18.1748)
314: (x, y) = (15.0635, 18.1748)
315: (x, y) = (16.8058, 17.1927)
316: (x, y) = (14.819, 16.9631)
317: (x, y) = (14.3888, 18.9163)
318: (x, y) = (13.8384, 16.9935)
319: (x, y) = (14.874, 15.2825)
320: (x, y) = (16.7374, 16.0089)
321: (x, y) = (14.7628, 15.6916)
322: (x, y) = (13.0846, 14.6036)
323: (x, y) = (15.0839, 14.5505)
324: (x, y) = (16.2379, 16.184)
325: (x, y) = (15.0551, 17.7969)
326: (x, y) = (16.5155, 19.1634)
327: (x, y) = (17.9391, 17.7586)
328: (x, y) = (18.1951, 15.7751)
329: (x, y) = (17.6789, 13.8428)
330: (x, y) = (17.8645, 11.8514)
331: (x, y) = (16.3337, 10.5643)
332: (x, y) = (18.333, 10.5113)
333: (x, y) = (19.1491, 12.3372)
334: (x, y) = (18.9459, 14.3268)
335: (x, y) = (20.1286, 15.9397)
336: (x, y) = (21.9581, 15.1316)
337: (x, y) = (23.4424, 16.472)
338: (x, y) = (22.3917, 18.1738)
339: (x, y) = (24.2066, 19.0142)
340: (x, y) = (22.548, 17.8966)
341: (x, y) = (20.9617, 19.1147)
342: (x, y) = (19.2461, 20.1426)
343: (x, y) = (19.6763, 22.0958)
344: (x, y) = (17.6827, 21.9366)
345: (x, y) = (19.143, 23.3032)
346: (x, y) = (17.783, 24.7695)
347: (x, y) = (19.6767, 24.1264)
348: (x, y) = (17.7111, 24.4959)
349: (x, y) = (19.4082, 25.5541)
350: (x, y) = (20.6473, 27.124)
351: (x, y) = (18.6551, 27.3008)
352: (x, y) = (20.2085, 26.041)
353: (x, y) = (20.8433, 24.1444)
354: (x, y) = (19.5228, 22.6424)
355: (x, y) = (18.8046, 24.509)
356: (x, y) = (20.38, 23.277)
357: (x, y) = (21.9663, 24.4951)
358: (x, y) = (23.5843, 23.3196)
359: (x, y) = (22.6255, 25.0747)
360: (x, y) = (21.2397, 26.5168)
361: (x, y) = (22.4787, 28.0867)
362: (x, y) = (22.0312, 26.1374)
363: (x, y) = (23.5274, 24.8102)
364: (x, y) = (23.0455, 22.8692)
365: (x, y) = (24.9754, 22.3444)
366: (x, y) = (23.216, 21.3933)
367: (x, y) = (24.5233, 19.8797)
368: (x, y) = (26.5183, 20.0212)
369: (x, y) = (24.5838, 20.5289)
370: (x, y) = (23.4011, 22.1417)
371: (x, y) = (24.555, 23.7752)
372: (x, y) = (24.3871, 25.7681)
373: (x, y) = (23.0665, 24.2661)
374: (x, y) = (24.3055, 25.8361)
375: (x, y) = (25.6785, 24.3818)
376: (x, y) = (25.3351, 22.4115)
377: (x, y) = (25.6436, 20.4354)
378: (x, y) = (24.7475, 22.2234)
379: (x, y) = (26.1834, 23.6156)
380: (x, y) = (25.9626, 21.6278)
381: (x, y) = (27.3226, 23.0942)
382: (x, y) = (29.1521, 22.2862)
383: (x, y) = (27.2419, 22.8788)
384: (x, y) = (28.7841, 24.1524)
385: (x, y) = (30.672, 24.8123)
386: (x, y) = (29.2485, 23.4075)
387: (x, y) = (31.1586, 24.0003)
388: (x, y) = (30.9554, 25.9899)
389: (x, y) = (32.9105, 25.5684)
390: (x, y) = (33.5117, 23.6608)
391: (x, y) = (34.996, 25.0013)
392: (x, y) = (36.1499, 26.6348)
393: (x, y) = (35.3825, 24.7879)
394: (x, y) = (35.656, 26.7691)
395: (x, y) = (37.3244, 27.872)
396: (x, y) = (35.696, 29.0331)
397: (x, y) = (36.2803, 30.9459)
398: (x, y) = (34.5209, 29.9948)
399: (x, y) = (36.3283, 29.1385)
400: (x, y) = (34.5689, 28.1874)
401: (x, y) = (34.2081, 30.1546)
402: (x, y) = (35.2437, 28.4436)
403: (x, y) = (33.3616, 27.7669)
404: (x, y) = (32.0813, 26.2304)
405: (x, y) = (30.1819, 26.8568)
406: (x, y) = (31.3789, 25.2545)
407: (x, y) = (32.6455, 26.8023)
408: (x, y) = (33.6962, 28.5041)
409: (x, y) = (35.3348, 27.3574)
410: (x, y) = (35.538, 29.3471)
411: (x, y) = (36.4968, 31.1022)
412: (x, y) = (35.8788, 33.0043)
413: (x, y) = (33.9275, 33.4432)
414: (x, y) = (35.0229, 35.1165)
415: (x, y) = (36.7906, 36.052)
After 415 steps, the subject has the following location:
(x, y) = (36.7906, 36.052)
 or
(m, a) = (51.5102, 2.43555)
Average outward distance per step = 0.124121

Walk #2:
Target Distance: 50, Step Size: 1
0: (x, y) = (0, 0)
1: (x, y) = (-0.391885, 0.920014)
2: (x, y) = (-1.34697, 1.21635)
3: (x, y) = (-0.946955, 0.299845)
4: (x, y) = (-1.92806, 0.106371)
5: (x, y) = (-2.82008, 0.55837)
6: (x, y) = (-3.36041, 1.39982)
7: (x, y) = (-4.34151, 1.20635)
8: (x, y) = (-4.49573, 0.218315)
9: (x, y) = (-5.3625, 0.717028)
10: (x, y) = (-4.46263, 1.15319)
11: (x, y) = (-4.67777, 2.12978)
12: (x, y) = (-5.21805, 1.28829)
13: (x, y) = (-5.33726, 2.28116)
14: (x, y) = (-5.64628, 3.23221)
15: (x, y) = (-5.48332, 4.21885)
16: (x, y) = (-4.51607, 4.4727)
17: (x, y) = (-4.28372, 5.44533)
18: (x, y) = (-5.24137, 5.15743)
19: (x, y) = (-4.26575, 5.37688)
20: (x, y) = (-4.16417, 6.37171)
21: (x, y) = (-4.76263, 5.57055)
22: (x, y) = (-4.06975, 6.29161)
23: (x, y) = (-3.62961, 5.39369)
24: (x, y) = (-3.57211, 4.39534)
25: (x, y) = (-4.37058, 3.79332)
26: (x, y) = (-4.34846, 2.79356)
27: (x, y) = (-3.9566, 3.71359)
28: (x, y) = (-3.13227, 4.27969)
29: (x, y) = (-3.23389, 5.27452)
30: (x, y) = (-3.69771, 6.16044)
31: (x, y) = (-4.67334, 6.37987)
32: (x, y) = (-3.81556, 6.89387)
33: (x, y) = (-4.52733, 6.19146)
34: (x, y) = (-3.52768, 6.16494)
35: (x, y) = (-2.53648, 6.03259)
36: (x, y) = (-2.32137, 7.00918)
37: (x, y) = (-2.57094, 7.97754)
38: (x, y) = (-2.18722, 7.05409)
39: (x, y) = (-2.15627, 8.05361)
40: (x, y) = (-2.02828, 7.06184)
41: (x, y) = (-1.0814, 6.74025)
42: (x, y) = (-0.185417, 6.29616)
43: (x, y) = (-0.783877, 5.49501)
44: (x, y) = (-1.78196, 5.43309)
45: (x, y) = (-2.4489, 6.1782)
46: (x, y) = (-3.21429, 5.53464)
47: (x, y) = (-2.22991, 5.35859)
48: (x, y) = (-2.97208, 6.0288)
49: (x, y) = (-2.78295, 5.04685)
50: (x, y) = (-2.04674, 4.3701)
51: (x, y) = (-2.3473, 3.41634)
52: (x, y) = (-1.37168, 3.63579)
53: (x, y) = (-0.372659, 3.59158)
54: (x, y) = (-0.55309, 4.57517)
55: (x, y) = (0.435615, 4.72504)
56: (x, y) = (0.298848, 5.71565)
57: (x, y) = (1.11815, 5.14229)
58: (x, y) = (0.998943, 6.13516)
59: (x, y) = (1.33311, 5.19264)
60: (x, y) = (0.425649, 5.61278)
61: (x, y) = (0.935826, 6.47285)
62: (x, y) = (-0.0291319, 6.21045)
63: (x, y) = (-0.838142, 5.62265)
64: (x, y) = (-1.30977, 4.74085)
65: (x, y) = (-1.61033, 3.78709)
66: (x, y) = (-1.9694, 4.7204)
67: (x, y) = (-1.17091, 4.1184)
68: (x, y) = (-1.80425, 4.89227)
69: (x, y) = (-0.866255, 5.23892)
70: (x, y) = (-1.84378, 5.02811)
71: (x, y) = (-2.11895, 4.06672)
72: (x, y) = (-1.97348, 5.05608)
73: (x, y) = (-1.69828, 4.09469)
74: (x, y) = (-1.5967, 5.08952)
75: (x, y) = (-2.04477, 5.98351)
76: (x, y) = (-2.75655, 5.28111)
77: (x, y) = (-3.27432, 4.42559)
78: (x, y) = (-4.2677, 4.31077)
79: (x, y) = (-4.86616, 3.50962)
80: (x, y) = (-4.45004, 4.41893)
81: (x, y) = (-3.97839, 3.53714)
82: (x, y) = (-4.72645, 2.87351)
83: (x, y) = (-4.79279, 3.87131)
84: (x, y) = (-5.02517, 4.84393)
85: (x, y) = (-5.86425, 4.29991)
86: (x, y) = (-4.93577, 3.9285)
87: (x, y) = (-4.75537, 4.9121)
88: (x, y) = (-4.97051, 5.88868)
89: (x, y) = (-4.35099, 6.67366)
90: (x, y) = (-5.29498, 7.00362)
91: (x, y) = (-5.70309, 7.91656)
92: (x, y) = (-5.20822, 8.78552)
93: (x, y) = (-4.51534, 9.50658)
94: (x, y) = (-4.82437, 10.4576)
95: (x, y) = (-3.89266, 10.8208)
96: (x, y) = (-2.89266, 10.8208)
97: (x, y) = (-2.89705, 9.82085)
98: (x, y) = (-3.73612, 9.27682)
99: (x, y) = (-4.73577, 9.25027)
100: (x, y) = (-4.60778, 8.2585)
101: (x, y) = (-4.07492, 7.41229)
102: (x, y) = (-3.08259, 7.5359)
103: (x, y) = (-3.63767, 6.70411)
104: (x, y) = (-4.49998, 6.19771)
105: (x, y) = (-3.5449, 6.49408)
106: (x, y) = (-3.08894, 5.60409)
107: (x, y) = (-3.44801, 6.5374)
108: (x, y) = (-2.76152, 5.81025)
109: (x, y) = (-2.10786, 5.05347)
110: (x, y) = (-2.42526, 4.10518)
111: (x, y) = (-3.13703, 3.40277)
112: (x, y) = (-3.81051, 2.66357)
113: (x, y) = (-3.21917, 3.46999)
114: (x, y) = (-4.20651, 3.31137)
115: (x, y) = (-4.77623, 2.48953)
116: (x, y) = (-3.99955, 1.85964)
117: (x, y) = (-4.67957, 2.59283)
118: (x, y) = (-4.89471, 3.56942)
119: (x, y) = (-5.43498, 2.72793)
120: (x, y) = (-5.90661, 1.84613)
121: (x, y) = (-5.92871, 0.846376)
122: (x, y) = (-6.88887, 0.566932)
123: (x, y) = (-5.95397, 0.212022)
124: (x, y) = (-5.33445, 0.997002)
125: (x, y) = (-5.98809, 0.2402)
126: (x, y) = (-5.7471, -0.730328)
127: (x, y) = (-4.83598, -0.318182)
128: (x, y) = (-5.50292, 0.426931)
129: (x, y) = (-5.01573, -0.446367)
130: (x, y) = (-4.79196, -1.42101)
131: (x, y) = (-5.69184, -0.984871)
132: (x, y) = (-4.69376, -1.04676)
133: (x, y) = (-5.57345, -1.52231)
134: (x, y) = (-4.9821, -0.715893)
135: (x, y) = (-4.21669, -1.35943)
136: (x, y) = (-3.49873, -0.663351)
137: (x, y) = (-2.6645, -0.111924)
138: (x, y) = (-2.6689, -1.11191)
139: (x, y) = (-2.82312, -2.09995)
140: (x, y) = (-2.88946, -1.10215)
141: (x, y) = (-3.8893, -1.08448)
142: (x, y) = (-3.19005, -1.79936)
143: (x, y) = (-3.73778, -0.962703)
144: (x, y) = (-4.19372, -1.85271)
145: (x, y) = (-4.80627, -2.64315)
146: (x, y) = (-5.68596, -3.1187)
147: (x, y) = (-6.27014, -3.93032)
148: (x, y) = (-7.08943, -4.5037)
149: (x, y) = (-7.9562, -4.00499)
150: (x, y) = (-7.0213, -4.3599)
151: (x, y) = (-7.91332, -3.9079)
152: (x, y) = (-7.08898, -3.34179)
153: (x, y) = (-7.30412, -2.3652)
154: (x, y) = (-6.43737, -1.86646)
155: (x, y) = (-5.76386, -2.60565)
156: (x, y) = (-4.7639, -2.61447)
157: (x, y) = (-5.67863, -3.01853)
158: (x, y) = (-6.56251, -2.55081)
159: (x, y) = (-7.4974, -2.90575)
160: (x, y) = (-6.55636, -3.24406)
161: (x, y) = (-7.28046, -3.93375)
162: (x, y) = (-7.81329, -4.77998)
163: (x, y) = (-8.80855, -4.87719)
164: (x, y) = (-9.20044, -3.95717)
165: (x, y) = (-9.59232, -3.03716)
166: (x, y) = (-9.85043, -4.00328)
167: (x, y) = (-10.3453, -3.13433)
168: (x, y) = (-10.6205, -4.09572)
169: (x, y) = (-9.82737, -3.48666)
170: (x, y) = (-9.05631, -2.84989)
171: (x, y) = (-9.8756, -3.42328)
172: (x, y) = (-10.2097, -4.3658)
173: (x, y) = (-11.1477, -4.01918)
174: (x, y) = (-10.216, -3.65598)
175: (x, y) = (-9.92392, -2.6996)
176: (x, y) = (-10.8524, -3.07103)
177: (x, y) = (-10.5016, -4.00748)
178: (x, y) = (-11.3594, -3.4935)
179: (x, y) = (-11.7349, -2.56669)
180: (x, y) = (-12.2603, -1.71581)
181: (x, y) = (-11.8765, -2.63925)
182: (x, y) = (-12.563, -3.36642)
183: (x, y) = (-12.8636, -4.32018)
184: (x, y) = (-12.0759, -4.93622)
185: (x, y) = (-11.2004, -4.4529)
186: (x, y) = (-10.5468, -3.69608)
187: (x, y) = (-9.58419, -3.42514)
